SYMBOL	dist
Fam186a	0
Sh3pxd2a	68
Pdlim1	-558
Hivep3	657
4930413E15Rik	-908
Aqp12	996
Tincr	1206
4933405E24Rik	-1346
Slc12a8	-1458
Ephb3	-1549
Tmem192	-1708
1500015L24Rik	-2075
2310002D06Rik	-2080
Tg	-2788
Pde4d	-3005
Exoc6	3026
Arhgap1	-3107
Mmp27	4079
Washc3	4095
Wee1	-4694
Itgb1	-5263
Faah	-5510
Rmnd5a	-5657
Mfsd1	6589
Resp18	-6683
Serpinb6b	-6805
Elmo1	7338
Tcf4	7359
Mrln	-7592
C730014E05Rik	-7920
Myo18a	8818
4930534H03Rik	-9349
Nucb2	-9463
Kcnv2	-9490
Iscu	9770
Edem1	9940
Eps8	-10261
Cerk	-10293
Il20rb	10666
Aig1	10940
Nucb2	11080
Mdga1	-11354
Ms4a4b	-11549
Stk32a	11844
Aldh1a1	12278
Pklr	-12329
Tdrd12	12432
Hint1	12518
Naga	12667
Rab21	-12840
Shc3	13349
Myom1	13951
Adap2	14572
Kif21a	15479
Catsper3	16716
Gm45924	17755
Angptl7	-17962
2610203C22Rik	-17970
Dcbld2	-18589
Ddx3x	18647
Lnx1	19339
Anxa6	19788
Plce1	-20164
Tcf4	20216
Spmip3	-20554
Gm31747	20634
Myo9b	-20728
Nat9	-21536
Prcp	21583
Tmem158	21703
4930554I06Rik	22430
Ets1	-23268
Rybp	-24691
Taok3	25065
Prdm11	25223
Ptprj	-25510
Rabep1	26954
Palld	-27309
Clnk	-27725
Cetn2	28467
Gm27162	28653
Epb41l3	-29204
Ccdc15	29875
Ppcdc	29886
Noc3l	31171
Plce1	31334
Dusp6	32114
Nrxn3	-33084
Dap	-33422
P3h2	-34929
Ppp1r36dn	35185
4930447J18Rik	-35259
Dennd4c	-35402
Rap1gap2	36546
Ccnj	-37399
Bpgm	37711
Ehd3	37961
Cacng6	38450
4933400F21Rik	39550
4930533N22Rik	-39687
Epc2	41007
Ptprj	-42910
Gm17634	-43473
Fam20b	-44095
Cdc7	44935
Cebpd	44967
4930412B13Rik	45109
Galnt18	49083
Stim2	-49489
Cxcl13	-49963
Fmn1	52411
Gsap	-54201
Mfhas1	54776
Slit3	-54924
Cdh23	57605
Lsm14a	-59364
Cxcl13	-59897
Flrt2	-60869
D330050G23Rik	63876
1110015O18Rik	66551
Tle1	70477
4930554I06Rik	-71756
Smc2os	72808
Ufm1	73787
Myo10	-75918
Irf2	78836
Adgrg2	-82642
Epas1	-89800
A430090L17Rik	90892
Spry2	-91735
Tmx1	93878
Gm17399	95438
Cop1	-103298
Gm32123	-106863
D030045P18Rik	119573
Rbms3	119727
Postn	128852
D030045P18Rik	134182
Tasp1	150253
Mnd1-ps	184594
Tpbg	187361
Gria1	-248185
Pid1	255811
Zfp507	-292574
Caap1	367729
1110019D14Rik	395656
Caap1	417591
Gm29687	419011
Zic4	-430472
Got2	-564552
Otol1	865898
