peak	seqnames	start	end	annotation	distanceToTSS	SYMBOL	GENENAME
chr1:4113087-4113587	chr1	4113087	4113587	Intron (ENSMUST00000208660.1/19888, intron 24 of 29)	246727	Rp1	retinitis pigmentosa 1 (human)
chr1:4141422-4141922	chr1	4141422	4141922	Intron (ENSMUST00000208660.1/19888, intron 22 of 29)	218392	Rp1	retinitis pigmentosa 1 (human)
chr1:5608278-5608778	chr1	5608278	5608778	Distal Intergenic	11760	Oprk1	opioid receptor, kappa 1
chr1:5729175-5729675	chr1	5729175	5729675	Distal Intergenic	132657	Oprk1	opioid receptor, kappa 1
chr1:9649145-9649645	chr1	9649145	9649645	Distal Intergenic	-17970	2610203C22Rik	RIKEN cDNA 2610203C22 gene
chr1:10255354-10255854	chr1	10255354	10255854	Distal Intergenic	-22684	Arfgef1	ARF guanine nucleotide exchange factor 1
chr1:11017174-11017674	chr1	11017174	11017674	Intron (ENSMUST00000027056.11/109294, intron 1 of 39)	23709	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2
chr1:11086640-11087140	chr1	11086640	11087140	Intron (ENSMUST00000027056.11/109294, intron 5 of 39)	-11390	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2
chr1:13269600-13270100	chr1	13269600	13270100	Intron (ENSMUST00000081713.10/17978, intron 2 of 21)	29622	Ncoa2	nuclear receptor coactivator 2
chr1:14139421-14139921	chr1	14139421	14139921	Distal Intergenic	91571	Eya1	EYA transcriptional coactivator and phosphatase 1
chr1:16768018-16768518	chr1	16768018	16768518	Exon (ENSMUST00000071842.9/ENSMUST00000071842.9, exon 1 of 1)	79510	Ly96	lymphocyte antigen 96
chr1:20069644-20070144	chr1	20069644	20070144	Intron (ENSMUST00000088448.11/241035, intron 66 of 66)	-286308	4930486I03Rik	RIKEN cDNA 4930486I03 gene
chr1:21090143-21090643	chr1	21090143	21090643	Distal Intergenic	-10914	Tram2	translocating chain-associating membrane protein 2
chr1:21721821-21722321	chr1	21721821	21722321	Intron (ENSMUST00000029667.12/226922, intron 1 of 13)	133581	Kcnq5	potassium voltage-gated channel, subfamily Q, member 5
chr1:22651932-22652432	chr1	22651932	22652432	Intron (ENSMUST00000081544.12/116837, intron 2 of 31)	153292	Rims1	regulating synaptic membrane exocytosis 1
chr1:23947632-23948132	chr1	23947632	23948132	Distal Intergenic	-25315	Smap1	small ArfGAP 1
chr1:27900212-27900712	chr1	27900212	27900712	Exon (ENSMUST00000185409.1/433281, exon 2 of 2)	16166	Gm5524	predicted gene 5524
chr1:28019872-28020372	chr1	28019872	28020372	Distal Intergenic	135826	Gm5524	predicted gene 5524
chr1:33718398-33718898	chr1	33718398	33718898	Promoter (<=1kb)	-989	Rab23	RAB23, member RAS oncogene family
chr1:33724573-33725073	chr1	33724573	33725073	3' UTR	4166	Rab23	RAB23, member RAS oncogene family
chr1:33738764-33739264	chr1	33738764	33739264	Promoter (<=1kb)	627	Rab23	RAB23, member RAS oncogene family
chr1:35308648-35309148	chr1	35308648	35309148	Distal Intergenic	456811	Plekhb2	pleckstrin homology domain containing, family B (evectins) member 2
chr1:35380741-35381241	chr1	35380741	35381241	Distal Intergenic	528904	Plekhb2	pleckstrin homology domain containing, family B (evectins) member 2
chr1:38696073-38696573	chr1	38696073	38696573	Distal Intergenic	-31118	Aff3	AF4/FMR2 family, member 3
chr1:39982774-39983274	chr1	39982774	39983274	Exon (ENSMUST00000163854.8/26921, exon 7 of 31)	-16321	Map4k4	mitogen-activated protein kinase kinase kinase kinase 4
chr1:40960633-40961133	chr1	40960633	40961133	Distal Intergenic	155032	Tmem182	transmembrane protein 182
chr1:42859645-42860145	chr1	42859645	42860145	Promoter (2-3kb)	-2369	Mrps9	mitochondrial ribosomal protein S9
chr1:44055966-44056466	chr1	44055966	44056466	Exon (ENSMUST00000238662.1/ENSMUST00000238662.1, exon 4 of 4)	-35932	Mettl21c	methyltransferase 21C, AARS1 lysine
chr1:51357613-51358113	chr1	51357613	51358113	Distal Intergenic	-23834	9330175M20Rik	RIKEN cDNA 9330175M20 gene
chr1:53762283-53762783	chr1	53762283	53762783	Exon (ENSMUST00000027263.13/98267, exon 6 of 8)	22374	Stk17b	serine/threonine kinase 17b (apoptosis-inducing)
chr1:54652161-54652661	chr1	54652161	54652661	Intron (ENSMUST00000179030.7/329154, intron 26 of 27)	5026	Ankrd44	ankyrin repeat domain 44
chr1:57884830-57885330	chr1	57884830	57885330	Intron (ENSMUST00000172287.7/67198, intron 6 of 6)	-16741	Spats2l	spermatogenesis associated, serine-rich 2-like
chr1:66721425-66721925	chr1	66721425	66721925	Exon (ENSMUST00000129190.7/68691, exon 13 of 14)	20518	Rpe	ribulose-5-phosphate-3-epimerase
chr1:70885152-70885652	chr1	70885152	70885652	3' UTR	159229	Vwc2l	von Willebrand factor C domain-containing protein 2-like
chr1:70936050-70936550	chr1	70936050	70936550	Distal Intergenic	166596	Bard1	BRCA1 associated RING domain 1
chr1:72497525-72498025	chr1	72497525	72498025	Intron (ENSMUST00000047786.5/381270, intron 1 of 3)	38905	Marchf4	membrane associated ring-CH-type finger 4
chr1:75285098-75285598	chr1	75285098	75285598	Distal Intergenic	-6683	Resp18	regulated endocrine-specific protein 18
chr1:75494935-75495435	chr1	75494935	75495435	Promoter (1-2kb)	-1868	Obsl1	obscurin-like 1
chr1:79016606-79017106	chr1	79016606	79017106	Intron (ENSMUST00000189296.1/102636764, intron 2 of 3)	199679	Kcne4	potassium voltage-gated channel, Isk-related subfamily, gene 4
chr1:83796942-83797442	chr1	83796942	83797442	Intron (ENSMUST00000189405.6/ENSMUST00000189405.6, intron 2 of 4)	255811	Pid1	phosphotyrosine interaction domain containing 1
chr1:84879589-84880089	chr1	84879589	84880089	Intron (ENSMUST00000097672.3/66153, intron 1 of 3)	10438	Fbxo36	F-box protein 36
chr1:85733207-85733707	chr1	85733207	85733707	Promoter (2-3kb)	2847	A630001G21Rik	RIKEN cDNA A630001G21 gene
chr1:89643838-89644338	chr1	89643838	89644338	Intron (ENSMUST00000027521.14/347722, intron 6 of 17)	39550	4933400F21Rik	RIKEN cDNA 4933400F21 gene
chr1:91595256-91595756	chr1	91595256	91595756	Distal Intergenic	54176	Asb1	ankyrin repeat and SOCS box-containing 1
chr1:93007330-93007830	chr1	93007330	93007830	Promoter (<=1kb)	996	Aqp12	aquaporin 12
chr1:95332273-95332773	chr1	95332273	95332773	Intron (ENSMUST00000059975.7/67698, intron 2 of 2)	18645	Fam174a	family with sequence similarity 174, member A
chr1:96519095-96519595	chr1	96519095	96519595	Distal Intergenic	142978	4930533P14Rik	RIKEN cDNA 4930533P14 gene
chr1:97887466-97887966	chr1	97887466	97887966	Intron (ENSMUST00000058762.14/18484, intron 12 of 25)	6430	Pam	peptidylglycine alpha-amidating monooxygenase
chr1:97943609-97944109	chr1	97943609	97944109	Intron (ENSMUST00000058762.14/18484, intron 4 of 25)	32959	Pam	peptidylglycine alpha-amidating monooxygenase
chr1:97982726-97983226	chr1	97982726	97983226	Intron (ENSMUST00000058762.14/18484, intron 1 of 25)	-5471	Pam	peptidylglycine alpha-amidating monooxygenase
chr1:100801173-100801673	chr1	100801173	100801673	Distal Intergenic	-354136	Gm20268	predicted gene, 20268
