"","feature","seqnames","start","end","width","strand","peak","start_position.x","end_position.x","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","hgnc_symbol","start_position.y","end_position.y"
"1","ENSG00000001036","6",143878835,143879123,289,"-","12940",143857935,143874556,"upstream",-4279,4279,"NearestStart","FUCA2",143857935,143874556
"2","ENSG00000001460","1",24564342,24564695,354,"-","00236",24556076,24614174,"inside",49832,8266,"NearestStart","C1orf201",24556076,24614174
"3","ENSG00000001460","1",24573916,24574241,326,"-","00237",24556076,24614174,"inside",40258,17840,"NearestStart","C1orf201",24556076,24614174
"4","ENSG00000001617","3",50172053,50172474,422,"+","10190",50167528,50201509,"inside",4525,4525,"NearestStart","SEMA3F",50167528,50201509
"5","ENSG00000002586","X",2537043,2537777,735,"+","15481",2619228,2669348,"upstream",-82185,81451,"NearestStart","CD99",2619228,2669348
"6","ENSG00000002586","X",2625721,2626051,331,"+","15482",2619228,2669348,"inside",6493,6493,"NearestStart","CD99",2619228,2669348
"7","ENSG00000002586","X",2632120,2632383,264,"+","15483",2619228,2669348,"inside",12892,12892,"NearestStart","CD99",2619228,2669348
"8","ENSG00000002586","X",2633026,2633490,465,"+","15484",2619228,2669348,"inside",13798,13798,"NearestStart","CD99",2619228,2669348
"9","ENSG00000002586","X",2635372,2635851,480,"+","15485",2619228,2669348,"inside",16144,16144,"NearestStart","CD99",2619228,2669348
"10","ENSG00000002587","4",11209356,11209698,343,"-","10910",11009086,11039635,"upstream",-169721,169721,"NearestStart","HS3ST1",11009086,11039635
"11","ENSG00000002726","7",150202450,150202753,304,"+","13883",150180506,150189312,"downstream",21944,13138,"NearestStart","ABP1",150180506,150189312
"12","ENSG00000002726","7",150239831,150240148,318,"+","13884",150180506,150189312,"downstream",59325,50519,"NearestStart","ABP1",150180506,150189312
"13","ENSG00000002745","7",120755823,120756292,470,"+","13749",120752657,120768393,"inside",3166,3166,"NearestStart","WNT16",120752657,120768393
"14","ENSG00000002822","7",2167397,2167766,370,"-","13089",1821956,2239404,"inside",72007,71638,"NearestStart","MAD1L1",1821956,2239404
"15","ENSG00000002822","7",2199243,2199848,606,"-","13090",1821956,2239404,"inside",40161,39556,"NearestStart","MAD1L1",1821956,2239404
"16","ENSG00000003137","2",71959212,71959573,362,"-","08035",72209875,72228471,"downstream",269259,250302,"NearestStart","CYP26B1",72209875,72228471
"17","ENSG00000003137","2",71963556,71964147,592,"-","08036",72209875,72228471,"downstream",264915,245728,"NearestStart","CYP26B1",72209875,72228471
"18","ENSG00000003137","2",71970559,71970824,266,"-","08037",72209875,72228471,"downstream",257912,239051,"NearestStart","CYP26B1",72209875,72228471
"19","ENSG00000003137","2",72020803,72021148,346,"-","08038",72209875,72228471,"downstream",207668,188727,"NearestStart","CYP26B1",72209875,72228471
"20","ENSG00000003137","2",72284917,72285388,472,"-","08039",72209875,72228471,"upstream",-56446,56446,"NearestStart","CYP26B1",72209875,72228471
"21","ENSG00000003137","2",72285583,72285997,415,"-","08040",72209875,72228471,"upstream",-57112,57112,"NearestStart","CYP26B1",72209875,72228471
"22","ENSG00000003137","2",72352428,72353302,875,"-","08041",72209875,72228471,"upstream",-123957,123957,"NearestStart","CYP26B1",72209875,72228471
"23","ENSG00000003137","2",72353982,72354312,331,"-","08042",72209875,72228471,"upstream",-125511,125511,"NearestStart","CYP26B1",72209875,72228471
"24","ENSG00000003137","2",72448216,72448798,583,"-","08043",72209875,72228471,"upstream",-219745,219745,"NearestStart","CYP26B1",72209875,72228471
"25","ENSG00000003402","2",201689046,201689993,948,"+","08581",201689135,201737246,"overlapStart",-89,89,"NearestStart","CFLAR",201689135,201737246
"26","ENSG00000003402","2",201691253,201691967,715,"+","08582",201689135,201737246,"inside",2118,2118,"NearestStart","CFLAR",201689135,201737246
"27","ENSG00000003402","2",201696857,201697292,436,"+","08583",201689135,201737246,"inside",7722,7722,"NearestStart","CFLAR",201689135,201737246
"28","ENSG00000003402","2",201699738,201700099,362,"+","08584",201689135,201737246,"inside",10603,10603,"NearestStart","CFLAR",201689135,201737246
"29","ENSG00000003436","2",188100296,188100591,296,"-","08484",188037202,188127464,"inside",27168,26873,"NearestStart","TFPI",188037202,188127464
"30","ENSG00000003436","2",188103018,188103324,307,"-","08485",188037202,188127464,"inside",24446,24140,"NearestStart","TFPI",188037202,188127464
"31","ENSG00000003436","2",188114538,188115119,582,"-","08486",188037202,188127464,"inside",12926,12345,"NearestStart","TFPI",188037202,188127464
"32","ENSG00000003436","2",188120302,188120759,458,"-","08487",188037202,188127464,"inside",7162,6705,"NearestStart","TFPI",188037202,188127464
"33","ENSG00000003436","2",188143338,188143573,236,"-","08488",188037202,188127464,"upstream",-15874,15874,"NearestStart","TFPI",188037202,188127464
"34","ENSG00000004399","3",130814049,130814750,702,"-","10469",130756708,130808351,"upstream",-5698,5698,"NearestStart","PLXND1",130756708,130808351
"35","ENSG00000004399","3",130843213,130843372,160,"-","10470",130756708,130808351,"upstream",-34862,34862,"NearestStart","PLXND1",130756708,130808351
"36","ENSG00000004399","3",130852860,130853540,681,"-","10471",130756708,130808351,"upstream",-44509,44509,"NearestStart","PLXND1",130756708,130808351
"37","ENSG00000004399","3",130863620,130864086,467,"-","10472",130756708,130808351,"upstream",-55269,55269,"NearestStart","PLXND1",130756708,130808351
"38","ENSG00000004399","3",130864539,130864954,416,"-","10473",130756708,130808351,"upstream",-56188,56188,"NearestStart","PLXND1",130756708,130808351
"39","ENSG00000004468","4",15384796,15385433,638,"+","10921",15389029,15459806,"upstream",-4233,3596,"NearestStart","CD38",15389029,15459806
"40","ENSG00000004468","4",15390179,15390374,196,"+","10922",15389029,15459806,"inside",1150,1150,"NearestStart","CD38",15389029,15459806
"41","ENSG00000004478","12",2754972,2755252,281,"+","02929",2774414,2783381,"upstream",-19442,19162,"NearestStart","FKBP4",2774414,2783381
"42","ENSG00000004487","1",23209792,23210162,371,"+","00207",23218533,23282771,"upstream",-8741,8371,"NearestStart","AOF2",23218533,23282771
"43","ENSG00000004660","17",3739944,3741234,1291,"-","05752",3710358,3743086,"inside",3142,1852,"NearestStart","CAMKK1",3710358,3743086
"44","ENSG00000004660","17",3741928,3742725,798,"-","05753",3710358,3743086,"inside",1158,361,"NearestStart","CAMKK1",3710358,3743086
"45","ENSG00000004660","17",3754526,3754854,329,"-","05754",3710358,3743086,"upstream",-11440,11440,"NearestStart","CAMKK1",3710358,3743086
"46","ENSG00000004799","7",95017055,95017835,781,"-","13566",95050753,95063861,"downstream",46806,32918,"NearestStart","PDK4",95050753,95063861
"47","ENSG00000004799","7",95063820,95064706,887,"-","13567",95050753,95063861,"overlapStart",41,41,"NearestStart","PDK4",95050753,95063861
"48","ENSG00000004799","7",95075968,95076468,501,"-","13568",95050753,95063861,"upstream",-12107,12107,"NearestStart","PDK4",95050753,95063861
"49","ENSG00000004799","7",95095955,95096813,859,"-","13569",95050753,95063861,"upstream",-32094,32094,"NearestStart","PDK4",95050753,95063861
"50","ENSG00000004799","7",95127112,95127655,544,"-","13570",95050753,95063861,"upstream",-63251,63251,"NearestStart","PDK4",95050753,95063861
"51","ENSG00000004848","X",24940821,24941339,519,"-","15582",24932213,24943775,"inside",2954,2436,"NearestStart","ARX",24932213,24943775
"52","ENSG00000004897","17",42589214,42589517,304,"-","06247",42552625,42621664,"inside",32450,32147,"NearestStart","CDC27",42552625,42621664
"53","ENSG00000004897","17",42604216,42604475,260,"-","06248",42552625,42621664,"inside",17448,17189,"NearestStart","CDC27",42552625,42621664
"54","ENSG00000004897","17",42613799,42614155,357,"-","06249",42552625,42621664,"inside",7865,7509,"NearestStart","CDC27",42552625,42621664
"55","ENSG00000005022","X",118512459,118512811,353,"+","15759",118486436,118489310,"downstream",26023,23149,"NearestStart","SLC25A5P8",118486436,118489310
"56","ENSG00000005022","X",118512459,118512811,353,"+","15759",118486436,118489310,"downstream",26023,23149,"NearestStart","SLC25A5",118486436,118489310
"57","ENSG00000005022","X",118514265,118514770,506,"+","15760",118486436,118489310,"downstream",27829,24955,"NearestStart","SLC25A5P8",118486436,118489310
"58","ENSG00000005022","X",118514265,118514770,506,"+","15760",118486436,118489310,"downstream",27829,24955,"NearestStart","SLC25A5",118486436,118489310
