seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr6	31284939	31285438	500	*	Promoter (<=1kb)	6	31285004	31337403	52400	1	73652	ENSMUST00000138653.7	0	ENSMUSG00000087380	2210408F21Rik	RIKEN cDNA 2210408F21 gene
chr2	101612236	101612735	500	*	Promoter (1-2kb)	2	101561800	101610556	48757	2	68170	ENSMUST00000136601.8	-1680	ENSMUSG00000027165	Iftap	intraflagellar transport associated protein
chr15	27992595	27993094	500	*	Intron (ENSMUST00000090247.6/223435, intron 1 of 56)	15	27919133	27995363	76231	2	223435	ENSMUST00000228950.1	2269	ENSMUSG00000022263	Trio	triple functional domain (PTPRF interacting)
chr7	59321372	59321871	500	*	Exon (ENSMUST00000208008.1/ENSMUST00000208008.1, exon 1 of 1)	7	59307924	59324149	16226	2	52480	ENSMUST00000190666.1	2278	NA	Snhg14	small nucleolar RNA host gene 14
chr8	107498538	107499037	500	*	Intron (ENSMUST00000166615.2/66894, intron 6 of 23)	8	107502568	107533252	30685	1	66894	ENSMUST00000212737.1	-3531	ENSMUSG00000031930	Wwp2	WW domain containing E3 ubiquitin protein ligase 2
chr18	46967092	46967591	500	*	Intron (ENSMUST00000049388.8/69456, intron 3 of 6)	18	46963556	47087104	123549	1	69456	ENSMUST00000234376.1	3536	ENSMUSG00000042705	Commd10	COMM domain containing 10
chr13	98739702	98740201	500	*	Intron (ENSMUST00000099277.11/218503, intron 20 of 26)	13	98724821	98735780	10960	2	218503	ENSMUST00000225318.1	-3922	ENSMUSG00000041685	Fcho2	FCH domain only 2
chr10	111160021	111160520	500	*	Distal Intergenic	10	111164752	111297249	132498	1	237542	ENSMUST00000105275.8	-4232	ENSMUSG00000020189	Osbpl8	oxysterol binding protein-like 8
chr12	36308657	36309156	500	*	Distal Intergenic	12	36314139	36318452	4314	1	66042	ENSMUST00000041407.6	-4983	ENSMUSG00000036169	Sostdc1	sclerostin domain containing 1
chr12	105617429	105617928	500	*	Intron (ENSMUST00000221015.1/76559, intron 20 of 20)	12	105616139	105623142	7004	2	76559	ENSMUST00000222395.1	5214	ENSMUSG00000041341	Atg2b	autophagy related 2B
