peak	MA0102.5	MA0113.4	MA0148.5	MA0466.4	MA0480.3	MA2323.1	MA2327.1
chr1:9868859-9869359	1	0	0	0	0	0	0
chr1:12718560-12719060	0	0	0	0	0	0	0
chr1:23130738-23131238	0	0	0	0	0	1	0
chr1:40236685-40237185	0	0	1	0	1	1	0
chr1:44551974-44552474	0	0	0	0	0	0	0
chr1:44591735-44592235	0	2	0	0	0	0	0
chr1:45311701-45312201	0	0	0	0	0	2	0
chr1:45313681-45314181	0	0	0	0	0	0	0
chr1:51720088-51720588	0	0	0	0	0	0	0
chr1:52390308-52390808	0	0	0	0	0	0	0
chr1:55571874-55572374	0	0	0	0	0	3	0
chr1:55575797-55576297	0	0	0	0	0	0	0
chr1:55618671-55619171	0	0	0	0	0	0	0
chr1:62956698-62957198	0	0	0	0	0	0	0
chr1:63479604-63480104	1	0	0	0	0	0	0
chr1:63507236-63507736	0	0	0	2	0	0	0
chr1:63562204-63562704	0	0	0	0	0	0	0
chr1:71866400-71866900	1	0	0	0	0	0	0
chr1:73038730-73039230	0	0	0	0	0	0	0
chr1:76730767-76731267	0	0	0	0	0	0	0
chr1:82002357-82002857	0	0	0	0	0	2	0
chr1:82172202-82172702	0	0	0	0	0	1	0
chr1:82180375-82180875	1	2	0	0	0	2	0
chr1:82189292-82189792	0	0	0	0	0	0	0
chr1:82290556-82291056	0	0	0	0	0	0	0
chr1:82831830-82832330	0	0	0	0	0	0	0
chr1:83408111-83408611	0	0	0	0	0	0	0
chr1:83455452-83455952	0	0	0	2	0	0	0
chr1:87009050-87009550	0	2	0	0	0	2	0
chr1:90242295-90242795	0	0	0	0	0	2	0
chr1:90721118-90721618	0	0	0	0	0	0	0
chr1:92028155-92028655	0	0	0	0	0	0	0
chr1:106013630-106014130	0	2	0	0	0	2	6
chr1:118899538-118900038	1	0	0	2	0	0	0
chr1:119863732-119864232	0	0	0	0	0	0	0
chr1:119872318-119872818	0	0	0	0	0	0	2
chr1:125789757-125790257	0	0	0	0	0	0	0
chr1:130803021-130803521	0	2	0	0	0	2	2
chr1:130941673-130942173	0	0	1	0	1	0	2
chr1:130963748-130964248	0	0	0	0	0	0	0
chr1:133871242-133871742	0	0	0	0	0	0	0
chr1:134042454-134042954	0	1	0	0	0	1	0
chr1:135195855-135196355	0	0	0	0	0	0	0
chr1:135237115-135237615	0	0	0	0	0	0	2
chr1:138536203-138536703	0	0	0	0	0	0	2
chr1:143480940-143481440	0	2	0	0	0	0	2
chr1:151082415-151082915	0	0	0	0	0	0	0
chr1:152051734-152052234	0	0	0	0	0	0	0
chr1:153679278-153679778	0	0	0	0	0	0	0
chr1:153730318-153730818	0	0	0	0	0	0	0
chr1:153918668-153919168	0	0	0	0	0	0	0
chr1:154044578-154045078	0	0	0	0	0	0	0
chr1:154076932-154077432	0	0	0	0	0	1	0
chr1:154214898-154215398	1	0	0	0	0	2	2
chr1:154242628-154243128	0	2	0	0	0	2	0
chr1:155122210-155122710	0	0	0	2	0	0	0
chr1:156222112-156222612	0	0	0	0	0	0	0
chr1:162107035-162107535	0	2	0	0	0	3	2
chr1:162853346-162853846	1	0	0	0	0	0	0
chr1:162859502-162860002	0	0	0	0	0	0	0
chr1:162882807-162883307	0	0	1	0	1	2	0
chr1:162891862-162892362	2	2	1	2	1	2	0
chr1:164248099-164248599	0	0	0	0	0	1	0
chr1:165510170-165510670	1	0	0	0	0	1	0
chr1:167256780-167257280	0	0	0	0	0	0	0
chr1:168264231-168264731	0	0	0	0	0	0	0
chr1:168393475-168393975	0	0	0	0	0	0	0
chr1:173622254-173622754	0	0	0	0	0	2	0
chr1:174666475-174666975	0	0	0	0	0	0	0
chr1:179553337-179553837	0	0	0	0	0	0	0
chr1:179608336-179608836	0	0	0	0	0	0	0
chr1:179672368-179672868	1	0	0	0	0	0	0
chr1:180422415-180422915	0	0	0	0	0	0	0
chr1:184515055-184515555	0	0	0	0	0	0	0
chr1:184519468-184519968	1	0	0	0	0	0	0
chr1:184827157-184827657	0	0	0	0	0	0	0
chr1:185831984-185832484	0	0	0	0	0	0	0
chr1:188118115-188118615	1	0	0	2	0	0	2
chr1:188139904-188140404	0	0	0	0	0	0	0
chr1:192818501-192819001	0	0	0	0	0	0	0
chr1:193035888-193036388	0	0	0	0	0	0	0
chr1:193082218-193082718	0	0	0	0	0	0	0
chr1:193086542-193087042	0	0	1	0	1	1	2
chr1:193089965-193090465	0	0	0	0	0	0	2
chr1:193232552-193233052	0	2	0	0	0	3	0
chr1:193242120-193242620	1	0	1	0	1	0	0
chr1:193278317-193278817	1	0	0	0	0	0	0
chr1:193310861-193311361	0	2	0	0	0	2	4
chr1:193323727-193324227	0	0	0	0	0	0	2
chr1:193326615-193327115	0	0	0	0	0	0	0
chr1:194624941-194625441	0	0	0	0	0	0	0
chr1:194629173-194629673	0	0	0	0	0	0	0
chr1:194976887-194977387	0	0	0	0	0	0	0
chr10:4232859-4233359	0	0	0	0	0	0	0
chr10:4605015-4605515	1	0	0	0	0	0	2
chr10:4612112-4612612	0	0	0	0	0	0	0
chr10:4618202-4618702	0	0	0	0	0	0	0
chr10:4621085-4621585	0	0	0	0	0	0	0
chr10:4709809-4710309	0	0	0	0	0	0	0
chr10:4726979-4727479	0	0	0	0	0	2	0
chr10:4746747-4747247	1	0	0	0	0	0	0
chr10:4943750-4944250	0	0	0	0	0	0	0
chr10:8807436-8807936	0	0	0	0	0	1	0
chr10:8944395-8944895	0	0	0	0	0	0	0
chr10:17077459-17077959	0	0	0	0	0	0	0
chr10:17478692-17479192	1	0	1	0	1	0	2
chr10:17480938-17481438	1	3	0	0	0	4	0
chr10:17521799-17522299	1	0	0	0	0	0	0
chr10:19599696-19600196	0	2	1	0	1	2	0
chr10:19613038-19613538	0	0	1	0	1	0	2
chr10:23403439-23403939	0	0	0	0	0	0	0
chr10:40327964-40328464	0	0	0	0	0	0	0
chr10:40630493-40630993	0	0	0	0	0	0	0
chr10:41553455-41553955	0	0	0	0	0	0	0
chr10:42862283-42862783	0	0	0	0	0	0	0
chr10:59997374-59997874	0	4	0	0	0	4	0
chr10:61162545-61163045	1	0	0	0	0	0	0
chr10:67838835-67839335	0	0	0	0	0	0	0
chr10:67843026-67843526	0	0	0	0	0	0	0
chr10:75780663-75781163	0	0	0	0	0	0	0
chr10:79890792-79891292	0	0	0	0	0	0	0
chr10:79896945-79897445	0	0	0	0	0	0	0
chr10:80329500-80330000	0	0	0	0	0	0	0
chr10:81358432-81358932	1	0	0	0	0	0	0
chr10:83119242-83119742	0	0	0	0	0	0	0
chr10:84810671-84811171	0	2	0	0	0	1	0
chr10:86021324-86021824	0	0	0	0	0	0	0
chr10:86300917-86301417	0	0	0	0	0	0	0
chr10:86302569-86303069	0	0	0	0	0	0	0
