SYMBOL	distanceToTSS	annotation	seqnames	start	end
1700003L19Rik	-20	Promoter (<=1kb)	chr16	12810871	12811370
Vmn1r180	-419	Promoter (<=1kb)	chr7	23949714	23950213
Palb2	495	Promoter (<=1kb)	chr7	122123451	122123950
Pdlim1	-559	Promoter (<=1kb)	chr19	40231364	40231863
Rab23	628	3' UTR	chr1	33738765	33739264
Cyp4a10	882	Exon (ENSMUST00000058785.9/13117, exon 2 of 13)	chr4	115519170	115519669
Or1ab2	-1151	Promoter (1-2kb)	chr8	72105390	72105889
Obsl1	-1869	Promoter (1-2kb)	chr1	75494936	75495435
Gcfc2	1884	3' UTR	chr6	81943238	81943737
Fpr2	1984	Intron (ENSMUST00000149944.1/14289, intron 1 of 2)	chr17	17889872	17890371
Kncn	-2031	Distal Intergenic	chr4	115881870	115882369
2310002D06Rik	-2080	Distal Intergenic	chr12	80504627	80505126
Tsen15	2191	Distal Intergenic	chr1	152369392	152369891
Dnajc6	-2852	Intron (ENSMUST00000154120.8/72685, intron 1 of 11)	chr4	101504520	101505019
Pde4d	-3005	Intron (ENSMUST00000122041.7/238871, intron 3 of 16)	chr13	109577901	109578400
Cobl	-3102	Intron (ENSMUST00000172919.7/12808, intron 2 of 7)	chr11	12381380	12381879
Ms4a15	-3164	Distal Intergenic	chr19	10996414	10996913
Il16	-3352	Intron (ENSMUST00000001792.11/16170, intron 12 of 18)	chr7	83658847	83659346
Setd3	3516	Intron (ENSMUST00000071095.13/52690, intron 4 of 12)	chr12	108158994	108159493
Zfp1003	3522	Intron (ENSMUST00000108935.7/665205, intron 1 of 2)	chr2	177900618	177901117
Gm36283	-4133	Intron (ENSMUST00000217857.1/102640148, intron 1 of 2)	chr10	108432033	108432532
Cntn1	4487	Intron (ENSMUST00000141187.7/12805, intron 1 of 8)	chr15	92165844	92166343
Acbd3	5114	Intron (ENSMUST00000027780.5/170760, intron 3 of 7)	chr1	180734971	180735470
Psd3	5448	Intron (ENSMUST00000127631.1/ENSMUST00000127631.1, intron 2 of 3)	chr8	67968627	67969126
Cul5	5461	Intron (ENSMUST00000166367.7/75717, intron 6 of 17)	chr9	53640852	53641351
Impact	-5521	Intron (ENSMUST00000234763.1/16210, intron 1 of 5)	chr18	12965903	12966402
Rmnd5a	-5658	Distal Intergenic	chr6	71446295	71446794
Tbl1xr1	-5927	Intron (ENSMUST00000193734.5/81004, intron 11 of 16)	chr3	22196766	22197265
Hipk1	-6169	Intron (ENSMUST00000118317.7/15257, intron 8 of 15)	chr3	103757183	103757682
Ggta1	-6419	Intron (ENSMUST00000113002.8/14594, intron 1 of 7)	chr2	35452252	35452751
Stim2	6798	Intron (ENSMUST00000117661.8/116873, intron 1 of 11)	chr5	54005363	54005862
Stxbp6	6995	Intron (ENSMUST00000053768.13/217517, intron 2 of 5)	chr12	45005470	45005969
Dhx15	7050	3' UTR	chr5	52150254	52150753
